S,B,status,latency_s,memory_bytes,energy_j,flops_measured,flops_predicted,memory_predicted,is_validation
384,64,ok,0.04655910301208496,857407488,3.3360560883307184,167171457024,167171457024.0,419397392.0,0
384,111,ok,0.12595620727539064,1484802048,8.468486124203892,289937995776,289937995776.0,724336400.0,1
384,128,ok,0.14264756774902343,1699840000,9.708567028121234,334342914048,334342914048.0,834633488.0,0
384,133,ok,0.15563780975341798,1853390848,10.664240185772453,347403184128,347403184128.0,867073808.0,1
384,139,ok,0.16087155151367188,1884061696,10.317155983518855,363075508224,363075508224.0,906002192.0,1
384,256,ok,0.2956039276123047,3384287232,19.231178571753553,668685828096,668685828096.0,1665105680.0,0
512,1,ok,0.0016238560080528261,32210944,0.10924994423062138,4643407872,4643407872.0,15695632.0,0
512,2,ok,0.0030070400238037106,49381376,0.21288196021790332,9286815744,9286815744.0,27229968.0,0
512,4,ok,0.005965407848358154,85032960,0.36038416937602474,18573631488,18573631488.0,50298640.0,0
512,8,ok,0.01155840015411377,156336128,0.7833878178198314,37147262976,37147262976.0,96435984.0,0
512,16,ok,0.02095372772216797,399734784,1.419825642947199,74294525952,74294525952.0,188710672.0,0
512,32,ok,0.04161257553100586,784355328,2.5592862658803806,148589051904,148589051904.0,373260048.0,0
512,64,ok,0.08412184143066406,1553596416,5.313228948818092,297178103808,297178103808.0,742358800.0,0
512,111,ok,0.22549105072021486,2699069440,15.492568467782089,515418273792,515418273792.0,1284472592.0,1
512,128,ok,0.25741259765625,3092348928,17.802875926033938,594356207616,594356207616.0,1480556304.0,0
512,133,ok,0.2805640258789063,3373938688,18.384087126132407,617573246976,617573246976.0,1538227984.0,1
512,139,ok,0.2891841888427734,3430561792,19.758436518348702,645433694208,645433694208.0,1607434000.0,1
512,256,ok,0.5274781494140626,6169042944,35.63665413121126,1188712415232,1188712415232.0,2956951312.0,0
